timestamp,num_satellites,latitude,longitude,altitude,latitude_sigma,longitude_sigma,altitude_sigma,northing,easting,down,utm_zone
0001547131014902294,7,51.762042,-1.262751,65.175329,0.765007,0.681226,0.953577,5736000.136044,619890.118628,-65.175329,30U
0001547131015102345,7,51.762042,-1.262751,65.175272,0.766639,0.683059,0.954887,5736000.134648,619890.116874,-65.175272,30U
0001547131015302397,7,51.762041,-1.262751,65.175393,0.768268,0.684886,0.956195,5736000.133273,619890.115161,-65.175393,30U
0001547131015502449,7,51.762041,-1.262751,65.175683,0.769893,0.686709,0.957501,5736000.131877,619890.113388,-65.175683,30U
0001547131015702501,8,51.762042,-1.262751,65.174278,0.763958,0.680048,0.952735,5736000.137619,619890.120160,-65.174278,30U
0001547131015902553,8,51.762042,-1.262751,65.174660,0.765593,0.681883,0.954046,5736000.136342,619890.118597,-65.174660,30U
0001547131016102605,8,51.762042,-1.262751,65.175165,0.767224,0.683714,0.955356,5736000.135058,619890.116950,-65.175165,30U
0001547131016302657,8,51.762042,-1.262751,65.175716,0.768851,0.685540,0.956663,5736000.133720,619890.115166,-65.175716,30U
0001547131016502709,8,51.762041,-1.262751,65.176265,0.770475,0.687361,0.957969,5736000.132271,619890.113340,-65.176265,30U
0001547131016702251,7,51.762042,-1.262751,65.175003,0.764546,0.680707,0.953205,5736000.138244,619890.119433,-65.175003,30U
0001547131016902302,7,51.762042,-1.262751,65.175462,0.766179,0.682540,0.954516,5736000.136685,619890.117729,-65.175462,30U
0001547131017102354,7,51.762042,-1.262751,65.176012,0.767808,0.684369,0.955824,5736000.135068,619890.116080,-65.176012,30U
0001547131017302406,7,51.762041,-1.262751,65.176646,0.769435,0.686193,0.957131,5736000.133496,619890.114351,-65.176646,30U
0001547131017502458,7,51.762041,-1.262751,65.177343,0.771058,0.688013,0.958436,5736000.131952,619890.112630,-65.177343,30U
0001547131017702510,7,51.762042,-1.262751,65.174058,0.765132,0.681365,0.953675,5736000.138327,619890.119236,-65.174058,30U
0001547131017902469,7,51.762042,-1.262751,65.174953,0.766764,0.683197,0.954985,5736000.136778,619890.117777,-65.174953,30U
0001547131018102520,7,51.762042,-1.262751,65.175941,0.768393,0.685024,0.956293,5736000.135292,619890.116424,-65.175941,30U
0001547131018302572,7,51.762042,-1.262751,65.177118,0.770018,0.686846,0.957599,5736000.133837,619890.114974,-65.177118,30U
0001547131018502624,7,51.762041,-1.262751,65.178410,0.771640,0.688664,0.958904,5736000.132432,619890.113468,-65.178410,30U
0001547131018702676,7,51.762041,-1.262751,65.179791,0.765719,0.682023,0.954145,5736000.131089,619890.111961,-65.179791,30U
0001547131018902728,7,51.762042,-1.262751,65.192856,0.767350,0.683853,0.955454,5736000.144082,619890.114747,-65.192856,30U
0001547131019102780,7,51.762042,-1.262751,65.194513,0.768977,0.685679,0.956762,5736000.142728,619890.113351,-65.194513,30U
0001547131019302832,7,51.762042,-1.262751,65.196286,0.770601,0.687499,0.958067,5736000.141385,619890.111833,-65.196286,30U
0001547131019502884,7,51.762042,-1.262751,65.198173,0.772221,0.689315,0.959371,5736000.140061,619890.110149,-65.198173,30U
0001547131019702936,7,51.762042,-1.262751,65.190696,0.766306,0.682680,0.954615,5736000.145787,619890.116813,-65.190696,30U
0001547131019902988,7,51.762042,-1.262751,65.192345,0.767935,0.684509,0.955924,5736000.144475,619890.115219,-65.192345,30U
0001547131020103040,7,51.762042,-1.262751,65.193981,0.769561,0.686333,0.957231,5736000.143046,619890.113713,-65.193981,30U
0001547131020302807,7,51.762042,-1.262751,65.195648,0.771184,0.688152,0.958536,5736000.141584,619890.112264,-65.195648,30U
0001547131020502858,7,51.762042,-1.262751,65.197454,0.772803,0.689966,0.959839,5736000.139973,619890.110700,-65.197454,30U
0001547131020702910,7,51.762042,-1.262751,65.189076,0.772398,0.688593,0.960353,5736000.147058,619890.118564,-65.189076,30U
0001547131020902796,7,51.762042,-1.262751,65.190594,0.774015,0.690406,0.961653,5736000.145454,619890.117128,-65.190594,30U
0001547131021102847,7,51.762042,-1.262751,65.192151,0.775628,0.692214,0.962952,5736000.143866,619890.115749,-65.192151,30U
0001547131021302899,7,51.762042,-1.262751,65.193688,0.777238,0.694018,0.964250,5736000.142286,619890.114323,-65.193688,30U
0001547131021502951,7,51.762042,-1.262751,65.195271,0.778845,0.695816,0.965545,5736000.140607,619890.113026,-65.195271,30U
0001547131021702869,7,51.762042,-1.262751,65.187936,0.772974,0.689240,0.960814,5736000.147461,619890.119693,-65.187936,30U
0001547131021902504,7,51.762042,-1.262751,65.189481,0.774589,0.691051,0.962114,5736000.145793,619890.118439,-65.189481,30U
0001547131022102555,7,51.762042,-1.262751,65.190982,0.776201,0.692858,0.963413,5736000.144112,619890.117159,-65.190982,30U
0001547131022302607,7,51.762042,-1.262751,65.192432,0.777810,0.694659,0.964709,5736000.142290,619890.115815,-65.192432,30U
0001547131022502659,7,51.762042,-1.262751,65.193824,0.779415,0.696457,0.966004,5736000.140429,619890.114508,-65.193824,30U
0001547131022702711,7,51.762042,-1.262751,65.188292,0.773550,0.689887,0.961277,5736000.148499,619890.119777,-65.188292,30U
0001547131022902544,7,51.762042,-1.262751,65.189316,0.775164,0.691697,0.962576,5736000.146876,619890.118578,-65.189316,30U
0001547131023102595,7,51.762042,-1.262751,65.190333,0.776775,0.693501,0.963874,5736000.145247,619890.117236,-65.190333,30U
0001547131023302647,7,51.762042,-1.262751,65.191226,0.778382,0.695302,0.965170,5736000.143591,619890.115935,-65.191226,30U
0001547131023502699,7,51.762042,-1.262751,65.192179,0.779987,0.697097,0.966464,5736000.141873,619890.114586,-65.192179,30U
0001547131023702751,7,51.762042,-1.262751,65.188065,0.774126,0.690534,0.961740,5736000.148790,619890.119423,-65.188065,30U
0001547131023902709,7,51.762042,-1.262751,65.188883,0.775739,0.692342,0.963039,5736000.147137,619890.118082,-65.188883,30U
0001547131024102660,7,51.762042,-1.262751,65.189629,0.777349,0.694145,0.964336,5736000.145442,619890.116684,-65.189629,30U
0001547131024302596,7,51.762042,-1.262751,65.190288,0.778955,0.695944,0.965631,5736000.143616,619890.115256,-65.190288,30U
0001547131024502647,7,51.762042,-1.262751,65.190927,0.780558,0.697737,0.966925,5736000.141717,619890.113798,-65.190927,30U
0001547131024702699,7,51.762042,-1.262751,65.188515,0.774703,0.691181,0.962204,5736000.149381,619890.118967,-65.188515,30U
0001547131024902751,7,51.762042,-1.262751,65.189009,0.776315,0.692988,0.963502,5736000.147722,619890.117568,-65.189009,30U
0001547131025102803,7,51.762042,-1.262751,65.189505,0.777923,0.694789,0.964798,5736000.145976,619890.116031,-65.189505,30U
0001547131025302854,7,51.762042,-1.262751,65.190009,0.779528,0.696586,0.966093,5736000.144254,619890.114439,-65.190009,30U
0001547131025502906,7,51.762042,-1.262751,65.190487,0.781130,0.698378,0.967386,5736000.142528,619890.112729,-65.190487,30U
0001547131025702958,7,51.762042,-1.262751,65.187274,0.775280,0.691828,0.962668,5736000.149993,619890.121166,-65.187274,30U
0001547131025903010,7,51.762042,-1.262751,65.187684,0.776891,0.693633,0.963965,5736000.148310,619890.119541,-65.187684,30U
0001547131026103061,7,51.762042,-1.262751,65.188205,0.778498,0.695433,0.965261,5736000.146509,619890.117612,-65.188205,30U
0001547131026302677,7,51.762042,-1.262751,65.188718,0.780102,0.697228,0.966555,5736000.144628,619890.115530,-65.188718,30U
0001547131026502728,7,51.762042,-1.262751,65.189207,0.781703,0.699018,0.967848,5736000.142759,619890.113424,-65.189207,30U
0001547131026702558,7,51.762042,-1.262751,65.187217,0.775857,0.692475,0.963132,5736000.149703,619890.121844,-65.187217,30U
0001547131026902609,7,51.762042,-1.262751,65.187635,0.777466,0.694278,0.964429,5736000.148042,619890.119740,-65.187635,30U
0001547131027102661,7,51.762042,-1.262751,65.188093,0.779073,0.696076,0.965725,5736000.146370,619890.117457,-65.188093,30U
0001547131027302713,7,51.762042,-1.262751,65.188676,0.780675,0.697869,0.967018,5736000.144687,619890.115204,-65.188676,30U
0001547131027502764,7,51.762042,-1.262751,65.189321,0.782275,0.699658,0.968310,5736000.142843,619890.112822,-65.189321,30U
0001547131027702816,7,51.762042,-1.262751,65.186511,0.776434,0.693122,0.963597,5736000.150103,619890.121440,-65.186511,30U
0001547131027902868,7,51.762042,-1.262751,65.187053,0.778042,0.694923,0.964893,5736000.148652,619890.119298,-65.187053,30U
0001547131028102209,7,51.762042,-1.262751,65.187623,0.779647,0.696719,0.966188,5736000.146787,619890.116983,-65.187623,30U
0001547131028302260,7,51.762042,-1.262751,65.186943,0.781249,0.698511,0.967481,5736000.138572,619890.118881,-65.186943,30U
0001547131028502312,7,51.762041,-1.262751,65.186929,0.782847,0.700298,0.968772,5736000.115158,619890.128650,-65.186929,30U
0001547131028702363,7,51.762042,-1.262752,65.184203,0.777011,0.693768,0.964062,5736000.226890,619890.080999,-65.184203,30U
0001547131028902360,7,51.762042,-1.262751,65.181874,0.778618,0.695568,0.965358,5736000.164404,619890.114272,-65.181874,30U
0001547131029102411,7,51.762041,-1.262750,65.181806,0.780222,0.697362,0.966652,5736000.060014,619890.170446,-65.181806,30U
0001547131029302383,7,51.762039,-1.262749,65.181081,0.781823,0.699152,0.967944,5735999.913734,619890.249072,-65.181081,30U
0001547131029502434,7,51.762038,-1.262748,65.180396,0.783420,0.700938,0.969235,5735999.721930,619890.347912,-65.180396,30U
0001547131029702486,7,51.762036,-1.262746,65.177350,0.777590,0.694416,0.964527,5735999.479550,619890.470580,-65.177350,30U
0001547131029902537,7,51.762038,-1.262746,65.918008,0.779196,0.696214,0.965822,5735999.715633,619890.474179,-65.918008,30U
0001547131030102210,7,51.762034,-1.262744,65.916037,0.780799,0.698007,0.967115,5735999.358934,619890.656446,-65.916037,30U
0001547131030302208,7,51.762031,-1.262741,65.912825,0.782398,0.699796,0.968407,5735998.938689,619890.861612,-65.912825,30U
0001547131030502259,7,51.762026,-1.262738,65.903775,0.783994,0.701580,0.969697,5735998.452156,619891.082049,-65.903775,30U
0001547131030702311,7,51.762021,-1.262734,65.898838,0.778179,0.695077,0.964993,5735997.906707,619891.341197,-65.898838,30U
0001547131030902362,7,51.762019,-1.262732,66.524913,0.779783,0.696873,0.966287,5735997.663988,619891.493805,-66.524913,30U
0001547131031102414,7,51.762013,-1.262728,66.522920,0.781385,0.698664,0.967580,5735996.966045,619891.776124,-66.522920,30U
0001547131031302122,7,51.762006,-1.262724,66.523026,0.782983,0.700451,0.968871,5735996.198230,619892.093614,-66.523026,30U
0001547131031502173,7,51.761998,-1.262719,66.518001,0.784578,0.702233,0.970160,5735995.351539,619892.438494,-66.518001,30U
0001547131031702225,7,51.761990,-1.262714,66.511777,0.724485,0.632079,0.929413,5735994.418531,619892.795402,-66.511777,30U
0001547131031902276,7,51.761983,-1.262710,67.048777,0.726208,0.634053,0.930757,5735993.706672,619893.111659,-67.048777,30U
0001547131032102115,7,51.761973,-1.262704,67.049257,0.727928,0.636022,0.932099,5735992.639783,619893.548452,-67.049257,30U
0001547131032302166,7,51.761963,-1.262698,67.049173,0.729643,0.637984,0.933439,5735991.500625,619894.010565,-67.049173,30U
0001547131032502217,7,51.761952,-1.262691,67.059894,0.731354,0.639940,0.934777,5735990.297461,619894.500347,-67.059894,30U
0001547131032702269,7,51.761941,-1.262684,67.068167,0.682301,0.585542,0.898474,5735989.038973,619895.033279,-67.068167,30U
0001547131032902146,7,51.761931,-1.262677,67.525800,0.684131,0.587673,0.899864,5735987.944882,619895.515563,-67.525800,30U
0001547131033102197,7,51.761918,-1.262669,67.517834,0.685955,0.589796,0.901252,5735986.583401,619896.088767,-67.517834,30U
0001547131033302248,7,51.761906,-1.262661,67.526934,0.687775,0.591911,0.902638,5735985.164779,619896.705315,-67.526934,30U
0001547131033502300,7,51.761892,-1.262652,67.543994,0.689590,0.594019,0.904022,5735983.702204,619897.355356,-67.543994,30U
0001547131033702351,6,51.761880,-1.262643,67.930472,0.648540,0.550381,0.871371,5735982.358126,619897.995766,-67.930472,30U
0001547131033902403,6,51.761866,-1.262634,67.946877,0.650464,0.552648,0.872804,5735980.814487,619898.692727,-67.946877,30U
0001547131034102454,6,51.761852,-1.262624,67.957417,0.652383,0.554905,0.874235,5735979.233284,619899.402104,-67.957417,30U
0001547131034302506,6,51.761837,-1.262614,67.968019,0.654296,0.557153,0.875664,5735977.615913,619900.138969,-67.968019,30U
0001547131034502557,6,51.761822,-1.262604,67.970128,0.656204,0.559392,0.877090,5735975.965551,619900.890667,-67.970128,30U
0001547131034702609,6,51.761808,-1.262594,68.310360,0.621797,0.524439,0.848618,5735974.397506,619901.602014,-68.310360,30U
0001547131034902660,6,51.761792,-1.262583,68.320771,0.623804,0.526817,0.850090,5735972.697730,619902.390029,-68.320771,30U
0001547131035102712,6,51.761777,-1.262572,68.323392,0.625805,0.529184,0.851559,5735970.993715,619903.198406,-68.323392,30U
0001547131035302763,6,51.761761,-1.262561,68.326277,0.627799,0.531541,0.853026,5735969.273450,619904.020729,-68.326277,30U
0001547131035502815,6,51.761745,-1.262549,68.326004,0.629787,0.533888,0.854490,5735967.538178,619904.853756,-68.326004,30U
0001547131035702866,6,51.761730,-1.262537,68.315965,0.599625,0.512806,0.833693,5735965.794975,619905.701805,-68.315965,30U
0001547131035902809,6,51.761714,-1.262526,68.590277,0.601706,0.515238,0.835191,5735964.132752,619906.528822,-68.590277,30U
0001547131036102815,6,51.761698,-1.262514,68.578590,0.603780,0.517658,0.836686,5735962.370372,619907.398978,-68.578590,30U
0001547131036302820,6,51.761682,-1.262502,68.576070,0.605847,0.520068,0.838179,5735960.589412,619908.274060,-68.576070,30U
0001547131036502871,6,51.761666,-1.262490,68.569211,0.607907,0.522466,0.839669,5735958.809828,619909.153521,-68.569211,30U
0001547131036702922,6,51.761650,-1.262478,68.847008,0.581039,0.503129,0.820590,5735957.070837,619909.994233,-68.847008,30U
0001547131036902974,6,51.761634,-1.262466,68.842000,0.583187,0.505607,0.822112,5735955.313851,619910.869334,-68.842000,30U
0001547131037103025,6,51.761619,-1.262454,68.827691,0.585326,0.508074,0.823631,5735953.584338,619911.732695,-68.827691,30U
0001547131037302893,6,51.761603,-1.262442,68.825751,0.587458,0.510528,0.825147,5735951.853997,619912.599407,-68.825751,30U
0001547131037502944,6,51.761587,-1.262430,68.813284,0.589582,0.512971,0.826660,5735950.130460,619913.464507,-68.813284,30U
0001547131037702995,6,51.761572,-1.262419,69.065371,0.566088,0.496567,0.809898,5735948.439016,619914.283471,-69.065371,30U
0001547131037903047,6,51.761556,-1.262407,69.057346,0.568292,0.499078,0.811440,5735946.714924,619915.147194,-69.057346,30U
0001547131038102891,6,51.761540,-1.262395,69.054524,0.570487,0.501576,0.812979,5735944.985600,619916.013828,-69.054524,30U
0001547131038302654,6,51.761525,-1.262383,69.049390,0.572674,0.504062,0.814515,5735943.254955,619916.874686,-69.049390,30U
0001547131038502705,6,51.761509,-1.262371,69.053252,0.574853,0.506536,0.816048,5735941.514161,619917.751878,-69.053252,30U
0001547131038702756,6,51.761493,-1.262360,69.257468,0.552461,0.489109,0.799540,5735939.797211,619918.592394,-69.257468,30U
0001547131038902764,6,51.761477,-1.262347,69.231826,0.554719,0.491658,0.801101,5735938.069608,619919.472243,-69.231826,30U
0001547131039102815,6,51.761462,-1.262335,69.227132,0.556968,0.494194,0.802660,5735936.327656,619920.357638,-69.227132,30U
0001547131039302866,6,51.761446,-1.262323,69.209094,0.559207,0.496717,0.804216,5735934.599502,619921.224764,-69.209094,30U
0001547131039502918,6,51.761430,-1.262311,69.201312,0.561438,0.499227,0.805769,5735932.865490,619922.097728,-69.201312,30U
0001547131039702969,6,51.761414,-1.262300,69.429579,0.540906,0.482750,0.790581,5735931.123995,619922.930293,-69.429579,30U
0001547131039902781,6,51.761399,-1.262288,69.397573,0.543212,0.485333,0.792160,5735929.406410,619923.784364,-69.397573,30U
0001547131040102702,6,51.761383,-1.262276,69.385836,0.545509,0.487901,0.793737,5735927.677716,619924.652155,-69.385836,30U
0001547131040302669,6,51.761367,-1.262264,69.378135,0.547795,0.490457,0.795310,5735925.945902,619925.537182,-69.378135,30U
0001547131040502720,6,51.761352,-1.262252,69.342612,0.550072,0.492999,0.796880,5735924.228780,619926.426604,-69.342612,30U
0001547131040702462,6,51.761336,-1.262240,69.546752,0.531656,0.478923,0.783279,5735922.493134,619927.286501,-69.546752,30U
0001547131040902513,6,51.761320,-1.262227,69.533047,0.534002,0.481526,0.784873,5735920.761886,619928.175813,-69.533047,30U
0001547131041102564,6,51.761304,-1.262215,69.528135,0.536338,0.484115,0.786464,5735919.027848,619929.070814,-69.528135,30U
0001547131041302615,6,51.761288,-1.262203,69.523892,0.538663,0.486690,0.788052,5735917.284501,619929.956694,-69.523892,30U
0001547131041502667,6,51.761272,-1.262191,69.535382,0.540979,0.489252,0.789636,5735915.504476,619930.837045,-69.535382,30U
0001547131041702718,6,51.761256,-1.262179,69.714342,0.522931,0.474062,0.776028,5735913.710767,619931.661573,-69.714342,30U
0001547131041902637,6,51.761240,-1.262167,69.700434,0.525316,0.476692,0.777637,5735911.930084,619932.524533,-69.700434,30U
0001547131042102688,6,51.761223,-1.262155,69.718791,0.527691,0.479307,0.779243,5735910.122338,619933.400753,-69.718791,30U
0001547131042302692,6,51.761207,-1.262143,69.707748,0.530054,0.481908,0.780845,5735908.318520,619934.269563,-69.707748,30U
0001547131042502743,6,51.761190,-1.262132,69.690734,0.532407,0.484495,0.782445,5735906.513733,619935.135649,-69.690734,30U
0001547131042702794,6,51.761173,-1.262120,69.900399,0.515769,0.469361,0.770321,5735904.640729,619935.963335,-69.900399,30U
0001547131042902845,6,51.761157,-1.262108,69.907049,0.518187,0.472017,0.771942,5735902.793526,619936.824532,-69.907049,30U
0001547131043102508,6,51.761140,-1.262097,69.889216,0.520593,0.474658,0.773559,5735900.947005,619937.685987,-69.889216,30U
0001547131043302559,6,51.761123,-1.262085,69.877390,0.522989,0.477284,0.775173,5735899.092260,619938.553052,-69.877390,30U
0001547131043502610,6,51.761106,-1.262073,69.868550,0.525373,0.479896,0.776784,5735897.232827,619939.414483,-69.868550,30U
0001547131043702661,6,51.761089,-1.262062,70.109569,0.509964,0.466886,0.765357,5735895.288386,619940.188689,-70.109569,30U
0001547131043902712,6,51.761072,-1.262051,70.113021,0.512410,0.469555,0.766989,5735893.435278,619941.040725,-70.113021,30U
0001547131044102764,6,51.761055,-1.262038,70.145284,0.514843,0.472210,0.768617,5735891.569165,619941.915529,-70.145284,30U
0001547131044302526,6,51.761038,-1.262026,70.152178,0.517265,0.474850,0.770241,5735889.716447,619942.797797,-70.152178,30U
0001547131044502577,6,51.761021,-1.262014,70.124996,0.519676,0.477475,0.771862,5735887.879829,619943.664545,-70.124996,30U
0001547131044702628,6,51.761004,-1.262002,70.282173,0.504393,0.463469,0.760488,5735886.038030,619944.553455,-70.282173,30U
0001547131044902679,6,51.760988,-1.261990,70.286899,0.506865,0.466158,0.762130,5735884.184821,619945.424210,-70.286899,30U
0001547131045102730,6,51.760971,-1.261978,70.288731,0.509325,0.468832,0.763768,5735882.334581,619946.295149,-70.288731,30U
0001547131045302688,6,51.760954,-1.261966,70.292946,0.511773,0.471491,0.765403,5735880.487748,619947.161390,-70.292946,30U
0001547131045502739,6,51.760937,-1.261954,70.292001,0.514210,0.474135,0.767035,5735878.671458,619948.024514,-70.292001,30U
0001547131045702790,6,51.760919,-1.261943,70.187038,0.500805,0.460445,0.758367,5735876.649845,619948.865520,-70.187038,30U
0001547131045902651,6,51.760903,-1.261931,70.192404,0.503295,0.463152,0.760013,5735874.883743,619949.722255,-70.192404,30U
0001547131046102597,6,51.760887,-1.261919,70.190072,0.505773,0.465843,0.761656,5735873.142407,619950.572116,-70.190072,30U
0001547131046302648,6,51.760872,-1.261908,70.184046,0.508238,0.468518,0.763296,5735871.428431,619951.420577,-70.184046,30U
0001547131046502699,6,51.760857,-1.261896,70.172192,0.510692,0.471179,0.764932,5735869.765994,619952.267518,-70.172192,30U
0001547131046702750,7,51.760840,-1.261885,70.083248,0.499770,0.466472,0.756437,5735867.941749,619953.069106,-70.083248,30U
0001547131046902628,7,51.760826,-1.261874,70.067206,0.502265,0.469144,0.758087,5735866.389772,619953.886604,-70.067206,30U
0001547131047102679,7,51.760812,-1.261863,70.062687,0.504747,0.471801,0.759734,5735864.883047,619954.700552,-70.062687,30U
0001547131047302514,7,51.760799,-1.261851,70.057864,0.507218,0.474443,0.761378,5735863.425261,619955.506075,-70.057864,30U
0001547131047502565,7,51.760786,-1.261840,70.052564,0.509676,0.477070,0.763018,5735862.017885,619956.300972,-70.052564,30U
0001547131047702535,7,51.760772,-1.261830,69.970349,0.498132,0.464643,0.755506,5735860.435625,619957.040094,-69.970349,30U
0001547131047902586,7,51.760760,-1.261820,69.969354,0.500636,0.467325,0.757159,5735859.106565,619957.797595,-69.969354,30U
0001547131048102637,7,51.760748,-1.261809,69.963331,0.503126,0.469992,0.758808,5735857.831333,619958.531747,-69.963331,30U
0001547131048302688,7,51.760737,-1.261800,69.953655,0.505605,0.472645,0.760453,5735856.607860,619959.243495,-69.953655,30U
0001547131048502739,7,51.760726,-1.261790,69.943870,0.508071,0.475282,0.762095,5735855.435514,619959.925005,-69.943870,30U
0001547131048702727,6,51.760714,-1.261782,69.883508,0.500387,0.463806,0.758238,5735854.098799,619960.551547,-69.883508,30U
0001547131048902778,6,51.760704,-1.261773,69.872909,0.502879,0.466494,0.759885,5735853.009254,619961.153369,-69.872909,30U
0001547131049102418,6,51.760695,-1.261765,69.864630,0.505358,0.469166,0.761528,5735851.967002,619961.722457,-69.864630,30U
0001547131049302469,6,51.760686,-1.261758,69.856986,0.507826,0.471822,0.763168,5735850.975744,619962.282939,-69.856986,30U
0001547131049502520,6,51.760677,-1.261750,69.852272,0.510281,0.474464,0.764804,5735850.023654,619962.801960,-69.852272,30U
0001547131049702571,6,51.760667,-1.261744,69.786755,0.501557,0.464745,0.758423,5735848.933229,619963.287872,-69.786755,30U
0001547131049902498,6,51.760659,-1.261737,69.780730,0.504043,0.467427,0.760070,5735848.064025,619963.750144,-69.780730,30U
0001547131050102549,6,51.760651,-1.261731,69.773281,0.506517,0.470094,0.761712,5735847.233801,619964.178350,-69.773281,30U
0001547131050302357,6,51.760644,-1.261726,69.766757,0.508979,0.472745,0.763352,5735846.439421,619964.577480,-69.766757,30U
0001547131050502408,6,51.760637,-1.261721,69.758687,0.511429,0.475382,0.764987,5735845.690472,619964.952350,-69.758687,30U
0001547131050702459,6,51.760630,-1.261716,69.684436,0.501014,0.463307,0.758095,5735844.816175,619965.307776,-69.684436,30U
0001547131050902321,6,51.760623,-1.261711,69.676602,0.503503,0.465998,0.759742,5735844.151609,619965.635560,-69.676602,30U
0001547131051102372,6,51.760618,-1.261707,69.670584,0.505979,0.468672,0.761386,5735843.532088,619965.934862,-69.670584,30U
0001547131051302423,6,51.760613,-1.261703,69.661636,0.508444,0.471332,0.763026,5735842.960641,619966.207885,-69.661636,30U
0001547131051502474,6,51.760608,-1.261700,69.651257,0.510896,0.473976,0.764662,5735842.436296,619966.459404,-69.651257,30U
0001547131051702525,6,51.760603,-1.261697,69.637483,0.502009,0.462768,0.760321,5735841.936962,619966.693628,-69.637483,30U
0001547131051902576,6,51.760597,-1.261694,69.553015,0.504493,0.465461,0.761963,5735841.281280,619966.927997,-69.553015,30U
0001547131052102627,6,51.760593,-1.261691,69.544922,0.506965,0.468139,0.763602,5735840.805064,619967.149874,-69.544922,30U
0001547131052302678,6,51.760589,-1.261688,69.536736,0.509425,0.470801,0.765237,5735840.351058,619967.359570,-69.536736,30U
0001547131052502729,6,51.760585,-1.261685,69.530216,0.511873,0.473449,0.766869,5735839.931160,619967.550808,-69.530216,30U
0001547131052702780,5,51.760581,-1.261683,69.572703,0.502873,0.463236,0.761849,5735839.509121,619967.709967,-69.572703,30U
0001547131052902831,5,51.760578,-1.261681,69.564028,0.505352,0.465926,0.763488,5735839.165329,619967.863754,-69.564028,30U
0001547131053102882,5,51.760575,-1.261679,69.555652,0.507820,0.468601,0.765124,5735838.858461,619967.996588,-69.555652,30U
0001547131053302933,5,51.760573,-1.261677,69.545957,0.510275,0.471261,0.766756,5735838.597465,619968.105027,-69.545957,30U
0001547131053502984,5,51.760571,-1.261676,69.535565,0.512719,0.473906,0.768384,5735838.393435,619968.190508,-69.535565,30U
0001547131053703035,5,51.760570,-1.261676,69.567111,0.503742,0.463305,0.763677,5735838.208294,619968.232895,-69.567111,30U
0001547131053903086,5,51.760569,-1.261675,69.557413,0.506217,0.465995,0.765312,5735838.115994,619968.268031,-69.557413,30U
0001547131054103137,5,51.760568,-1.261675,69.545699,0.508680,0.468670,0.766944,5735838.064347,619968.283701,-69.545699,30U
0001547131054302877,5,51.760568,-1.261675,69.532471,0.511132,0.471329,0.768572,5735838.024333,619968.291847,-69.532471,30U
